circadian_20051021_cycling_dark_42oC_2705min_vs_NRC-1d.sig	Whitehead, 2009
circadian_20051021_cycling_dark_42oC_2880min_vs_NRC-1d.sig	Whitehead, 2009
circadian_dark3_cycling_1380min_vs_NRC-1d.sig	Whitehead, 2009
circadian_dark3_cycling_1440min_vs_NRC-1d.sig	Whitehead, 2009
circadian_dark3_cycling_1500min_vs_NRC-1d.sig	Whitehead, 2009
circadian_dark3_cycling_1620min_vs_NRC-1d.sig	Whitehead, 2009
circadian_dark3_cycling_1800min_vs_NRC-1d.sig	Whitehead, 2009
circadian_dark3_cycling_1980min_vs_NRC-1d.sig	Whitehead, 2009
circadian_dark3_cycling_2160min_vs_NRC-1d.sig	Whitehead, 2009
circadian_dark3_cycling_2220min_vs_NRC-1d.sig	Whitehead, 2009
circadian_dark3_cycling_2340min_vs_NRC-1d.sig	Whitehead, 2009
circadian_dark3_cycling_2520min_vs_NRC-1d.sig	Whitehead, 2009
circadian_dark3_cycling_2700min_vs_NRC-1d.sig	Whitehead, 2009
circadian_dark3_cycling_2880min_vs_NRC-1d.sig	Whitehead, 2009
circadian_dark3_ctrl_1380min_vs_NRC-1d.sig	Whitehead, 2009
circadian_dark3_ctrl_1440min_vs_NRC-1d.sig	Whitehead, 2009
circadian_dark3_ctrl_1500min_vs_NRC-1d.sig	Whitehead, 2009
circadian_dark3_ctrl_1620min_vs_NRC-1d.sig	Whitehead, 2009
circadian_dark3_ctrl_1800min_vs_NRC-1d.sig	Whitehead, 2009
circadian_dark3_ctrl_1980min_vs_NRC-1d.sig	Whitehead, 2009
circadian_dark3_ctrl_2160min_vs_NRC-1d.sig	Whitehead, 2009
circadian_dark3_ctrl_2220min_vs_NRC-1d.sig	Whitehead, 2009
circadian_dark3_ctrl_2340min_vs_NRC-1d.sig	Whitehead, 2009
circadian_dark3_ctrl_2520min_vs_NRC-1d.sig	Whitehead, 2009
circadian_dark3_ctrl_2700min_vs_NRC-1d.sig	Whitehead, 2009
circadian_dark3_ctrl_2880min_vs_NRC-1d.sig	Whitehead, 2009
circadian_drk8_control_0000min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk8_control_0180min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk8_control_0360min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk8_control_0540min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk8_control_0720min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk8_control_0900min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk8_control_1080min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk8_control_1260min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk8_control_1440min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk8_control_1620min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk8_control_1800min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk8_control_1980min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk8_control_2160min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk8_control_2340min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk8_control_2520min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk8_control_2700min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk8_control_2880min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk8_control_3060min_vs_NRC-1e.sig	Whitehead, 2009
circadian_drk8_control_3240min_vs_NRC-1e.sig	Whitehead, 2009
Circadian_Dark9_Cycling_0000min_vs_NRC-1g.sig	Whitehead, 2009
Circadian_Dark9_Cycling_0180min_vs_NRC-1g.sig	Whitehead, 2009
